id,color,weight,rating,price
77,5,52.2,5,8.85
78,6,20.69,5,14.98
79,7,25.83,3,6.7
80,9,59.39,5,29.22
81,6,51.17,1,3.2
82,4,5.98,2,47.18
83,10,7.98,3,38.53
84,3,35.4,2,17.96
85,8,76.12,5,13.86
86,3,96.29,1,48.75
87,4,88.18,2,8.69
88,7,12.77,2,8.9
89,4,12.19,1,28.28
90,1,82.19,2,45.77
91,7,11.1,1,43.66
92,10,56.49,2,43.65
93,10,33.05,5,38.95
94,2,42.27,5,37.1
95,10,31.49,1,49.59
96,1,60.6,3,46.09
97,4,88.98,2,8.77
98,1,49.03,1,40.68
99,4,32.69,1,10.47
100,2,74.85,3,4.61
101,1,42.08,5,19.04
102,1,44.09,5,31.7
103,9,81.56,4,28.98
104,6,60.96,5,34.43
105,9,10.6,1,42.15
106,7,46.1,1,30.56
107,5,11.58,5,28.87
108,9,88.17,3,40.45
109,4,45.73,3,46.8
110,3,18.11,5,41.34
111,6,73.92,4,16.86
112,1,6.01,5,26.44
113,2,64.89,3,35.11
114,9,36.9,4,6.53
115,4,68.33,5,21.32
116,6,46.04,5,31.96
117,9,64.8,2,26.43
118,3,62.08,5,24.44
119,8,92.61,1,40.5
120,8,24.39,1,42.86
121,4,58.82,2,24.31
122,10,52.09,2,38.91
123,1,81.29,1,45.85
124,4,63.86,2,4.67
125,2,46.66,5,6.09
126,4,53.4,4,34.18
127,9,7.73,5,7.6
128,2,22.54,5,47.69
129,7,64.08,1,26.88
130,6,74.71,4,48.51
131,9,5.34,5,10.16
132,3,70.93,4,49.74
133,9,71.14,4,29.51
134,8,91.66,2,1.4
135,4,5.32,3,44.28
136,2,32.65,1,19.49
137,4,40.53,4,33.86
138,3,20.14,1,46.49
139,10,41.27,1,20.95
140,3,3.51,1,39.79
141,5,1.08,1,18.09
142,6,68.65,3,28.79
143,9,12.32,4,8.59
144,1,72.26,4,11.0
145,6,2.52,4,4.61
146,7,84.14,1,20.57
147,6,96.66,2,40.25
148,7,80.14,3,35.96
149,1,48.61,1,36.0
150,3,88.32,5,12.22
151,6,62.32,1,33.25
152,5,65.12,5,30.62
153,3,73.56,1,11.43
154,4,91.58,2,44.54
155,10,54.84,3,31.03
156,10,47.2,5,34.1
157,9,56.04,3,5.89
158,4,93.53,5,13.61
159,8,62.75,2,4.91
160,8,15.73,5,39.58
161,9,37.91,4,28.03
162,4,32.64,2,46.08
163,1,33.69,1,6.37
164,3,4.05,1,41.42
165,10,93.6,3,46.18
166,6,73.8,3,41.6
167,6,96.15,1,28.94
168,7,82.17,2,23.94
169,8,59.76,2,24.53
170,5,48.05,2,17.85
171,7,17.89,3,48.82
172,7,4.86,1,31.88
173,9,56.12,2,26.29
174,8,44.56,2,36.45
175,5,2.28,5,25.9
176,2,49.96,1,49.99
177,4,75.35,5,20.19
178,8,27.91,5,35.22
179,8,9.72,4,33.43
180,2,94.2,5,2.74
181,9,26.95,3,21.53
182,10,65.1,1,37.97
183,1,96.29,2,45.18
184,9,26.28,2,2.37
185,3,18.66,1,40.04
186,2,19.55,1,6.67
187,7,36.62,3,37.1
188,3,54.28,5,17.62
189,5,50.51,3,38.31
190,2,77.93,4,42.7
191,9,67.69,5,46.41
192,7,70.27,5,22.35
193,6,23.7,1,24.85
194,1,80.84,1,16.25
195,6,64.98,3,18.69
196,1,62.41,4,36.76
197,8,29.34,3,26.87
198,6,36.0,5,28.96
199,6,21.89,5,35.34
200,7,43.21,5,35.09
201,8,70.16,1,40.24
202,5,58.08,5,10.5
203,3,31.28,5,4.33
204,8,28.81,1,13.17
205,1,98.02,3,49.78
206,7,46.72,4,5.78
207,9,83.26,4,23.34
208,10,21.48,3,26.76
209,3,95.86,4,1.25
210,1,57.68,4,3.39
211,7,78.99,5,23.18
212,4,56.29,4,40.67
213,3,6.13,3,19.17
214,9,4.06,4,26.2
215,6,33.23,1,42.5
216,6,88.92,5,48.36
217,6,93.98,2,41.14
218,3,11.9,2,4.51
219,1,88.5,4,7.98
220,6,1.61,3,16.49
221,4,53.05,2,2.13
222,7,89.77,1,38.13
223,10,2.3,4,19.66
224,2,61.58,2,37.62
225,4,90.94,1,34.13
226,3,70.61,4,16.73
227,7,23.68,4,41.82
228,9,32.81,4,40.69
229,3,60.4,3,21.9
230,9,98.63,1,14.08
231,6,21.3,2,41.95
232,5,81.47,3,2.59
233,1,93.3,3,48.84
234,9,75.39,2,8.57
235,9,17.52,1,8.76
236,2,2.83,2,7.44
237,10,58.3,1,42.09
238,9,2.81,5,7.59
239,10,42.57,4,4.32
240,10,49.11,5,21.13
241,1,79.37,2,33.37
242,7,42.57,2,10.61
243,4,65.22,3,19.21
244,5,10.17,3,32.0
245,9,85.97,1,40.81
246,10,55.58,2,28.95
247,10,73.24,1,36.71
248,6,40.28,4,36.66
249,3,75.81,3,12.12
250,9,61.93,5,19.48
251,6,10.71,3,15.31
252,2,19.62,4,24.0
253,8,27.06,1,36.41
254,8,7.8,1,1.0
255,4,18.09,3,31.78
256,5,72.99,3,3.85
257,9,50.91,3,4.21
258,4,50.34,5,43.34
259,4,30.71,3,40.92
260,4,95.19,5,20.14
261,1,78.47,1,40.59
262,4,69.67,2,34.58
263,5,2.94,4,25.57
264,6,36.0,2,37.69
265,10,10.02,3,13.77
266,3,60.93,5,49.4
267,1,46.38,3,31.63
268,2,24.09,1,33.78
269,1,94.68,3,39.51
270,5,66.44,4,8.57
271,10,86.74,2,27.9
272,5,69.79,4,27.75
273,9,34.09,4,9.96
274,6,83.84,1,1.4
275,9,39.33,2,7.71
276,2,33.33,1,19.36
277,4,91.03,5,38.69
278,6,41.58,2,41.04
279,10,13.58,2,8.65
280,9,63.53,5,25.89
281,7,28.7,3,31.48
282,9,10.12,5,38.62
283,9,75.47,2,17.85
284,8,51.45,2,36.2
285,7,63.63,4,24.95
286,6,53.59,3,29.83
287,8,83.13,3,49.15
288,1,37.77,3,41.69
289,9,90.7,3,33.21
290,6,8.85,1,12.19
291,5,7.35,2,24.77
292,2,36.42,4,25.03
293,9,95.46,2,33.82
294,9,24.23,4,30.08
295,3,50.81,3,38.87
296,1,87.74,4,13.38
297,10,6.74,2,4.15
298,4,92.13,5,23.53
299,1,29.45,5,39.6
300,1,59.66,2,11.35
301,3,1.82,1,44.58
302,7,80.86,5,47.22
303,2,94.72,1,43.46
304,3,83.05,1,48.98
305,1,68.81,2,39.18
306,8,80.74,2,28.64
307,10,45.11,1,26.01
308,9,78.35,3,22.84
309,2,17.84,1,46.36
310,10,77.77,1,32.45
311,2,57.72,1,41.73
312,10,38.03,5,46.99
313,2,24.86,5,46.74
314,3,66.87,3,12.82
315,1,20.43,4,6.19
316,2,76.82,3,20.37
317,2,11.52,1,15.66
318,6,89.03,1,33.35
319,8,37.21,2,31.7
320,5,59.26,2,23.12
321,6,79.28,2,25.05
322,8,68.52,4,40.23
323,8,90.4,3,11.49
324,6,55.74,5,48.01
325,4,43.04,5,1.83
326,7,17.41,2,30.53
327,1,92.23,2,46.82
328,10,82.57,2,47.21
329,9,89.86,4,20.08
330,6,50.55,5,10.57
331,6,56.38,5,18.4
332,8,1.38,4,44.79
333,2,62.56,5,11.89
334,9,62.71,4,23.54
335,3,18.53,1,25.47
336,8,10.61,2,44.32
337,1,75.58,5,17.11
338,6,89.68,3,40.75
339,8,54.04,5,10.4
340,10,78.51,5,4.1
341,2,94.74,4,17.6
342,3,60.39,5,4.52
343,7,98.3,1,46.15
344,7,38.31,4,5.2
345,2,47.93,2,40.52
346,7,65.6,2,12.61
347,10,67.41,5,15.61
348,7,7.9,3,22.91
349,10,90.91,5,31.69
350,6,6.43,4,7.82
351,5,14.03,4,17.92
352,6,7.81,5,37.91
353,7,19.99,4,36.32
354,6,29.67,3,14.34
355,5,62.17,5,19.75
356,6,84.58,2,12.18
357,7,90.74,4,23.92
358,4,65.64,1,11.27
359,4,14.2,2,37.61
360,2,66.8,5,17.35
361,6,47.81,4,42.22
362,8,68.93,4,26.47
363,3,74.5,4,39.75
364,8,98.73,5,31.64
365,2,89.3,4,34.57
366,1,74.0,2,8.9
367,10,76.68,4,34.03
368,4,2.88,2,14.5
369,1,95.62,5,31.8
370,8,16.28,3,2.49
371,1,85.29,3,3.26
372,3,66.03,3,28.58
373,3,89.14,3,19.91
374,2,39.82,3,49.39
375,10,23.84,2,10.08
376,9,45.35,2,29.93
377,4,21.1,5,43.38
378,1,98.28,1,27.22
379,10,68.97,1,3.47
380,3,61.03,5,2.63
381,10,91.85,3,34.93
382,10,28.78,2,40.28
383,6,7.09,2,22.79
384,3,53.12,5,23.68
385,10,59.69,5,46.57
386,2,86.5,2,32.49
387,2,57.29,1,8.11
388,4,26.04,1,24.18
389,9,55.46,1,43.61
390,1,4.64,3,47.36
391,2,59.4,5,35.01
392,10,39.35,3,35.49
393,9,81.56,5,36.19
394,8,55.86,5,7.91
395,9,55.16,4,46.29
396,10,57.02,3,13.4
397,3,81.29,5,29.18
398,9,71.48,4,13.8
399,3,7.46,3,10.96
400,5,10.87,2,4.48
401,5,82.2,1,16.43
402,4,7.5,2,28.26
403,10,25.38,2,7.31
404,4,44.51,5,8.59
405,3,39.43,4,8.52
406,5,77.68,5,24.13
407,9,32.2,5,33.22
408,7,48.35,4,40.0
409,1,8.72,3,6.69
410,6,27.81,2,14.91
411,6,16.34,1,5.94
412,2,67.73,3,41.55
413,10,46.4,4,24.72
414,3,27.8,2,11.47
415,6,31.4,2,46.3
416,7,12.0,2,3.22
417,4,74.93,1,7.39
418,3,87.71,4,44.62
419,5,46.54,2,46.9
420,3,73.38,5,49.73
421,1,63.29,4,5.83
422,4,60.19,5,19.17
423,6,25.92,1,47.55
424,3,14.27,3,26.13
425,6,37.43,3,18.79
426,1,25.12,2,35.3
427,8,82.33,2,31.95
428,4,37.2,5,40.53
429,9,56.3,1,19.1
430,2,71.27,3,7.72
431,1,90.24,3,26.27
432,7,4.15,4,36.75
433,7,47.65,3,43.69
434,3,83.43,1,36.38
435,3,81.21,2,18.2
436,5,7.52,5,32.54
437,6,34.56,3,24.91
438,7,90.09,3,3.16
439,4,25.11,3,17.66
440,5,53.17,3,1.22
441,3,94.13,5,11.52
442,3,92.42,5,45.99
443,8,55.02,3,4.9
444,5,91.13,2,10.4
445,5,84.45,4,25.65
446,5,77.81,1,20.33
447,8,69.64,2,43.01
448,6,80.08,1,2.33
449,9,26.9,2,28.75
450,1,21.21,5,8.38
451,2,28.31,3,6.22
452,10,25.47,2,12.79
453,6,53.47,3,21.92
454,6,86.45,1,48.75
455,7,17.2,1,42.51
456,7,49.37,1,33.94
457,3,69.8,4,32.61
458,8,49.75,1,5.54
459,5,35.19,5,46.78
460,3,80.28,5,38.68
461,4,29.4,3,24.35
462,3,60.58,5,18.66
463,1,52.02,2,25.56
464,2,3.91,3,32.75
465,10,36.38,5,3.83
466,10,82.22,2,33.24
467,10,97.98,4,32.4
468,10,81.68,4,43.23
469,7,54.93,5,8.43
470,7,45.67,2,26.57
471,2,75.84,4,48.34
472,7,84.29,2,18.19
473,2,11.02,4,36.51
474,2,42.0,5,49.16
475,3,27.78,1,6.1
476,1,15.47,5,12.29
477,5,8.49,1,49.62
478,2,19.1,2,46.5
479,8,27.79,3,5.33
480,4,71.47,5,3.2
481,1,41.9,4,4.81
482,7,31.59,3,48.2
483,1,22.99,2,26.3
484,2,84.96,1,6.55
485,10,19.98,4,11.4
486,2,21.83,2,31.65
487,9,50.4,2,14.54
488,2,76.66,1,36.11
489,4,78.57,4,36.83
490,5,85.18,3,31.42
491,1,65.97,2,40.98
492,8,12.5,3,4.19
493,7,19.22,1,18.15
494,5,19.1,1,23.18
495,2,89.7,4,23.95
496,3,26.33,1,14.32
497,10,94.16,2,2.0
498,9,74.13,3,6.69
499,8,60.62,2,36.95
500,1,40.19,3,34.75
501,5,33.58,4,41.65
502,3,96.33,5,29.98
503,3,42.1,2,46.25
504,3,97.99,5,27.56
505,7,28.35,2,1.94
506,6,87.78,5,44.93
507,2,44.18,2,16.67
508,10,20.25,3,20.65
509,5,49.52,2,40.99
510,9,90.44,2,45.49
511,4,20.26,1,18.1
512,5,6.24,3,11.83
513,10,18.11,3,44.86
514,1,99.93,4,21.38
515,4,21.26,4,12.36
516,5,70.11,2,22.29
517,8,6.92,5,23.8
518,4,39.64,2,46.27
519,8,48.09,1,32.19
520,9,99.18,3,28.34
521,6,52.42,2,40.55
522,10,19.14,3,2.36
523,8,5.43,4,42.62
524,4,98.96,5,46.18
525,7,44.38,2,5.83
526,10,91.04,3,10.43
527,3,56.48,4,44.22
528,4,33.77,5,21.66
529,5,58.45,3,30.91
530,8,11.66,3,4.15
531,1,52.95,1,40.41
532,2,59.56,2,1.45
533,9,40.83,3,26.68
534,1,36.76,1,26.59
535,9,79.8,2,42.87
536,7,97.58,5,14.13
537,2,45.2,3,2.54
538,2,47.31,4,10.03
539,8,82.56,5,40.35
540,4,55.57,5,6.11
541,1,47.81,1,25.46
542,4,68.05,3,6.04
543,7,75.8,1,34.29
544,8,56.29,5,29.15
545,10,76.36,3,2.47
546,5,33.62,2,31.87
547,4,57.38,1,26.09
548,4,18.04,2,43.65
549,2,68.28,5,38.7
550,6,16.55,1,23.34
551,4,46.22,3,9.8
552,4,45.07,2,46.06
553,3,96.08,3,13.04
554,4,56.69,4,47.22
555,7,43.92,3,34.33
556,3,77.4,4,47.15
557,4,21.81,1,7.6
558,6,49.91,1,21.26
559,1,22.13,5,21.77
560,3,99.92,2,2.5
561,1,39.93,2,14.37
562,3,78.07,1,22.39
563,9,15.37,1,24.12
564,3,33.61,1,14.53
565,1,50.65,3,48.03
566,6,72.48,5,8.64
567,3,65.14,2,2.73
568,4,44.93,5,3.03
569,3,62.89,4,20.26
570,6,90.82,4,32.78
571,3,30.08,5,41.48
572,6,29.22,3,4.77
573,10,22.56,3,4.05
574,5,87.44,5,16.95
575,3,72.03,1,14.92
576,5,24.06,3,14.2
577,9,69.9,4,48.62
578,9,69.52,3,37.23
579,9,60.46,2,14.7
580,5,99.78,4,8.69
581,4,56.77,2,1.66
582,3,75.89,3,21.6
583,9,91.06,2,13.96
584,3,91.45,5,34.04
585,6,95.63,1,49.29
586,3,13.87,2,15.33
587,8,44.25,4,21.34
588,1,3.16,4,11.45
589,1,60.04,4,3.1
590,2,90.84,3,47.1
591,2,14.91,5,7.15
592,10,61.75,2,43.54
593,2,14.72,3,5.24
594,5,8.04,2,21.18
595,8,6.56,5,24.97
596,2,58.45,2,35.52
597,4,72.5,5,20.34
598,2,97.08,2,19.09
599,4,80.65,4,46.58
600,1,42.69,4,27.99
601,1,70.62,3,16.92
602,7,51.49,2,7.39
603,9,9.86,2,42.12
604,2,58.5,5,31.07
605,6,46.18,5,3.06
606,5,63.33,1,33.88
607,8,91.47,4,14.63
608,3,76.56,1,36.21
609,6,97.83,2,15.5
610,6,23.17,2,14.42
611,5,64.53,2,4.87
612,4,90.68,1,45.41
613,7,25.79,1,34.89
614,7,48.39,1,7.11
615,1,25.66,5,8.52
616,10,90.37,3,16.4
617,9,95.08,3,36.37
618,4,77.09,3,17.52
619,5,51.17,2,17.55
620,10,42.98,2,9.4
621,6,76.62,2,40.81
622,4,77.15,1,35.28
623,3,81.07,2,10.38
624,4,5.25,1,5.34
625,8,11.23,1,16.12
626,4,86.09,2,23.33
627,9,59.63,4,29.2
628,3,65.85,5,36.29
629,6,5.16,5,39.61
630,5,69.43,1,12.77
631,1,46.58,4,43.59
632,6,54.5,4,36.63
633,8,27.07,3,21.6
634,3,54.58,2,45.82
635,9,16.76,4,29.49
636,6,17.57,5,26.51
637,5,58.75,1,19.89
638,5,63.19,2,11.36
639,7,67.12,3,36.48
640,3,30.26,3,35.76
641,5,72.65,3,11.89
642,9,5.62,4,7.96
643,2,35.79,2,14.78
644,1,19.14,3,21.09
645,1,90.63,5,36.67
646,6,20.58,1,38.43
647,4,29.75,2,31.2
648,2,14.04,4,2.43
649,2,45.89,1,2.04
650,2,55.73,3,43.88
651,7,14.37,2,11.73
652,4,78.55,2,39.36
653,8,17.85,3,8.46
654,9,82.27,5,1.53
655,9,41.24,4,25.79
656,1,53.36,3,8.66
657,2,92.17,4,30.03
658,6,10.76,1,2.91
659,7,44.01,3,28.46
660,9,86.0,1,43.6
661,10,62.76,1,29.87
662,10,72.99,1,47.38
663,8,77.81,2,19.19
664,1,50.19,5,48.54
665,2,60.98,5,24.8
666,1,62.44,4,9.89
667,3,81.0,3,12.6
668,3,90.25,3,49.33
669,2,34.45,4,15.08
670,3,71.19,4,17.58
671,1,88.26,4,34.49
672,1,50.91,4,17.53
673,8,51.77,2,26.3
674,5,84.87,1,37.74
675,10,20.9,2,16.63
676,4,52.4,2,44.57
677,1,60.34,5,25.66
678,2,33.71,3,10.39
679,9,98.13,5,21.37
680,10,81.0,2,10.1
681,2,60.63,3,41.12
682,6,21.69,3,1.39
683,4,75.13,4,4.56
684,10,69.86,2,41.59
685,9,63.37,5,47.01
686,5,34.88,4,41.27
687,1,26.63,4,15.29
688,3,21.25,3,31.85
689,4,13.81,2,21.9
690,9,91.48,1,22.96
691,7,62.46,3,30.24
692,10,56.91,3,23.2
693,8,3.8,4,39.99
694,5,81.55,3,44.64
695,5,53.41,2,27.16
696,7,35.07,1,2.27
697,6,43.5,4,4.28
698,7,44.12,5,44.25
699,2,82.25,4,45.87
700,7,33.92,3,3.04
701,4,87.28,1,1.68
702,2,33.85,2,39.72
703,1,45.12,1,36.99
704,2,29.67,3,39.71
705,8,50.68,2,12.95
706,6,33.97,2,8.86
707,7,91.6,2,8.95
708,8,3.6,2,35.59
709,8,43.53,5,27.19
710,3,70.81,4,3.05
711,9,27.59,2,26.61
712,9,4.16,2,17.87
713,10,41.37,1,16.31
714,8,27.68,5,29.43
715,4,45.71,2,18.34
716,6,89.16,2,10.74
717,2,93.82,1,32.52
718,5,92.75,5,39.69
719,8,48.87,2,48.01
720,2,80.71,3,32.62
721,9,4.27,3,1.48
722,5,13.18,1,49.42
723,9,36.43,2,4.2
724,2,62.95,3,17.56
725,8,27.78,5,23.7
726,1,4.69,2,42.46
727,5,35.92,1,25.24
728,4,41.47,5,38.31
729,3,13.55,3,12.71
730,9,77.45,5,9.38
731,7,44.62,3,49.33
732,5,47.77,1,20.01
733,4,21.73,3,2.8
734,4,86.83,2,17.81
735,6,33.69,4,2.56
736,7,22.15,1,18.57
737,2,51.64,2,27.72
738,9,9.61,1,28.41
739,4,66.44,1,45.69
740,1,14.93,4,39.8
741,1,29.14,4,39.91
742,8,95.09,4,29.35
743,2,8.74,2,47.99
744,1,45.72,3,34.43
745,8,3.2,4,2.29
746,8,10.91,5,13.85
747,4,37.54,3,32.41
748,2,50.95,3,42.57
749,6,9.67,2,48.14
750,10,81.26,1,42.28
751,2,13.64,5,22.06
752,5,85.36,5,41.9
753,10,72.56,4,24.65
754,1,48.24,3,2.23
755,8,43.27,3,40.01
756,6,55.57,4,27.26
757,4,46.84,1,6.7
758,2,68.52,1,14.87
759,10,45.82,5,7.14
760,4,19.49,4,44.93
761,4,45.49,1,28.88
762,7,7.34,3,36.62
763,8,80.3,2,49.86
764,5,41.12,5,17.84
765,2,16.6,2,12.36
766,8,36.37,3,27.5
767,9,8.18,3,28.12
768,8,37.12,3,15.93
769,3,81.47,4,38.69
770,1,25.58,2,31.86
771,8,97.35,2,23.02
772,4,27.12,4,38.85
773,4,23.98,2,30.78
774,5,40.83,3,39.49
775,9,43.97,3,36.14
776,3,3.61,4,18.09
777,5,47.78,1,39.6
778,9,88.46,2,26.96
779,10,34.36,1,43.1
780,3,73.61,5,25.47
781,7,58.5,4,30.33
782,9,21.62,3,13.23
783,9,92.13,3,29.56
784,3,1.69,3,11.75
785,2,62.57,2,24.03
786,5,9.07,1,17.75
787,10,63.2,5,21.89
788,8,83.58,4,43.27
789,10,70.59,1,34.41
790,10,61.98,1,19.27
791,2,17.82,4,32.64
792,7,32.25,2,13.68
793,5,23.68,5,40.75
794,4,6.09,4,40.62
795,10,29.73,4,2.69
796,10,37.06,5,8.34
797,9,3.45,3,2.75
798,10,76.97,5,3.97
799,4,88.89,1,44.45
800,5,87.84,1,4.87
801,10,84.57,1,38.35
802,6,10.77,2,4.61
803,10,49.02,4,28.72
804,7,34.5,3,45.73
805,9,68.4,2,18.9
806,1,66.08,4,13.67
807,2,32.03,3,9.75
808,6,97.84,5,19.18
809,10,66.59,3,18.24
810,9,35.56,4,38.73
811,7,26.99,4,34.79
812,9,56.31,1,23.38
813,7,20.08,5,34.0
814,2,6.74,3,14.64
815,10,29.0,4,13.92
816,5,90.62,5,31.2
817,1,47.0,1,37.52
818,8,6.81,4,45.59
819,9,3.41,5,27.58
820,9,47.85,1,40.77
821,4,68.71,2,3.21
822,10,13.49,4,19.4
823,10,89.92,2,41.03
824,9,40.6,5,49.87
825,4,88.69,3,43.93
826,2,12.9,2,14.37
827,8,18.81,5,13.31
828,7,23.56,1,35.65
829,7,43.25,4,41.79
830,8,90.77,1,18.16
831,6,84.56,2,12.02
832,2,40.38,4,38.68
833,7,44.67,1,15.68
834,6,17.55,3,22.44
835,6,44.66,2,29.5
836,4,87.12,4,38.7
837,6,12.63,2,17.46
838,9,12.84,4,2.45
839,10,82.08,3,49.16
840,2,15.65,4,49.49
841,10,79.91,2,31.84
842,6,67.14,5,11.49
843,4,55.26,1,28.46
844,10,3.54,2,37.98
845,10,31.04,4,42.69
846,6,42.32,4,46.18
847,9,67.55,4,13.31
848,1,29.6,1,45.9
849,1,86.43,1,18.66
850,3,86.64,3,45.11
851,6,71.94,4,24.12
852,6,94.18,5,32.09
853,2,61.87,1,31.48
854,7,5.23,2,36.88
855,2,60.67,2,26.92
856,9,23.33,3,12.74
857,6,59.59,2,26.28
858,10,54.32,1,36.22
859,4,24.38,4,1.19
860,6,49.0,2,14.06
861,8,73.08,1,36.25
862,7,23.22,3,40.52
863,10,5.72,3,23.94
864,2,24.47,4,2.07
865,4,83.45,3,37.55
866,10,92.13,3,29.66
867,2,58.25,3,41.6
868,2,30.56,5,27.71
869,1,61.23,5,39.16
870,3,69.22,5,23.78
871,1,63.83,5,8.24
872,10,46.64,3,36.71
873,3,39.21,3,12.8
874,7,35.01,1,38.47
875,9,98.49,4,38.39
876,5,99.29,3,10.04
877,6,71.56,3,1.57
878,7,64.81,3,22.36
879,4,91.57,1,20.29
880,8,87.69,5,31.7
881,5,48.93,4,17.48
882,8,6.55,1,5.9
883,2,89.61,4,27.65
884,5,70.13,5,3.62
885,1,63.81,3,25.63
886,5,60.43,3,39.45
887,3,51.58,5,41.12
888,3,48.07,1,17.05
889,6,46.15,3,10.35
890,10,63.22,5,16.13
891,6,62.46,1,35.56
892,10,78.34,3,7.79
893,7,76.88,3,11.46
894,6,52.8,4,43.22
895,2,50.8,5,36.13
896,10,28.23,2,8.93
897,6,99.51,2,9.76
898,8,31.81,2,37.17
899,6,31.34,5,21.49
900,9,95.55,2,23.49
901,2,1.48,5,15.79
902,5,70.81,1,39.49
903,4,45.52,5,30.37
904,2,28.63,1,30.19
905,9,41.26,1,42.71
906,9,78.83,5,47.5
907,8,54.4,3,23.85
908,2,58.69,4,15.51
909,8,89.12,1,37.83
910,8,40.39,4,16.82
911,5,59.15,1,35.8
912,6,75.6,1,29.97
913,8,99.7,2,22.88
914,7,92.85,3,11.55
915,9,53.93,3,1.04
916,7,4.21,2,43.52
917,1,17.36,1,45.01
918,7,64.75,3,34.07
919,10,69.7,1,22.66
920,3,84.5,2,21.68
921,4,4.29,3,14.71
922,1,66.69,5,9.37
923,1,45.92,5,49.16
924,3,94.5,5,39.08
925,3,39.2,2,40.04
926,5,78.23,3,47.53
927,7,6.95,2,6.65
928,1,23.68,4,5.81
929,8,64.82,2,16.14
930,8,41.84,3,26.16
931,3,57.7,3,15.56
932,5,68.84,1,4.3
933,2,43.88,2,36.22
934,8,60.4,1,17.71
935,4,68.34,1,22.78
936,4,61.29,5,49.24
937,9,70.28,2,31.54
938,1,53.37,4,45.66
939,10,27.27,1,47.22
940,3,32.47,2,17.99
941,10,5.15,2,33.23
942,3,53.52,2,36.79
943,3,40.72,4,26.77
944,7,81.01,5,46.78
945,5,31.27,3,8.9
946,7,34.75,3,39.55
947,1,96.95,4,38.53
948,10,57.45,4,16.74
949,7,93.19,2,26.77
950,3,28.74,1,19.37
951,7,71.42,5,33.48
952,4,28.6,1,11.34
953,6,69.31,4,24.96
954,10,80.18,1,34.07
955,3,97.56,1,11.53
956,8,92.08,4,32.54
957,2,71.74,2,44.26
958,6,30.36,1,5.72
959,6,5.75,4,7.92
960,9,24.99,1,27.46
961,1,1.26,2,27.56
962,1,36.61,5,38.58
963,3,52.25,1,48.78
964,8,36.39,4,40.36
965,2,67.25,1,23.4
966,3,77.37,2,41.48
967,7,31.58,3,33.72
968,6,54.42,2,29.85
969,7,81.25,1,34.41
970,2,57.61,1,15.69
971,8,65.95,2,43.28
972,9,92.24,3,49.71
973,5,57.84,4,24.31
974,4,97.46,3,45.85
975,6,17.19,5,17.94
976,4,83.59,1,7.25
977,1,29.07,5,37.72
978,2,1.14,1,34.3
979,4,88.54,4,28.39
980,4,79.82,1,43.43
981,8,3.56,4,31.37
982,9,23.74,3,38.05
983,5,29.92,4,9.45
984,4,3.43,2,27.88
985,4,3.47,3,9.14
986,3,20.9,5,36.6
987,3,81.14,3,6.12
988,9,59.01,2,43.27
989,6,96.77,3,1.97
990,5,79.94,2,15.94
991,7,68.63,3,31.97
992,9,11.31,2,24.86
993,3,66.78,1,12.29
994,6,33.54,2,49.32
995,4,11.96,2,26.22
996,8,50.98,3,27.81
997,7,55.81,1,22.84
998,9,97.83,2,25.68
